EC;enzyme_name;enzyme_abbreviation;pathway_name;location;iMT1026v3_flux;iMT1026v3_reaction_id;iMT1026v3_min;iMT1026v3_max;iYli21_flux;iYli21_reaction_id;iYli21_min;iYli21_max
2.7.1.1;glucokinase;GLK;glycolysis;cytosol;60.76668371240547;HEX1;0.0;100.00000000000159;100.0;R387;99.99999999999903;99.99999999996467
5.3.1.9;glucose-6-phosphate isomerase;PGI;glycolysis;cytosol;0.0;PGI;0.0;39.23331628769074;47.142993308764375;R326;47.14299330876409;47.14299330875235
2.7.1.11;6-phosphofructokinase;PFK;glycolysis;cytosol;43.906155466943034;PFK;43.9061554669821;43.9061554668376;42.596493983015066;R636;42.59649398289583;42.5964939830103
4.1.2.13;fructose-bisphosphate aldolase;FBA;glycolysis;cytosol;0.0;FBAx;-5.31814592363844e-11;0.0;42.596493983015066;R313;-1.0331291377951857e-11;42.59649398288513
5.3.1.1;triosephosphate isomerase;TPI;glycolysis;cytosol;56.56548598057188;TPI;56.565485980607825;56.565485980545915;54.93580556856903;R768;54.935805568375365;54.93580556857364
1.2.1.12;glyceraldehyde-3-phosphate dehydrogenase;GAPA;glycolysis;cytosol;123.75988874171871;GAPD;123.75988874171162;123.75988874174436;120.53662664661555;R344;120.53662664670871;120.53662664661806
2.7.2.3;phosphoglycerate kinase;PGK;glycolysis;cytosol;-123.75988874171871;PGK;-123.75988874199717;-123.75988874167706;120.53662664661555;R642;120.53662664661485;120.53662664662161
5.4.2.11;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase;gpmA;glycolysis;cytosol;-115.25297570498107;PGM;-115.25297570497727;-115.25297570495478;111.09945035057909;R643;111.09945035057518;111.0994503505845
4.2.1.11;enolase;ENO;glycolysis;cytosol;115.25297570498107;ENO;115.25297570505847;115.25297570498938;111.09945035057909;R292;111.09945035057304;111.09945035057382
2.7.1.40;pyruvate kinase;PYK;glycolysis;cytosol;109.44253901165773;PYK;109.44253901164863;109.44253901164902;107.63755614616201;R694;107.63755614613683;107.6375561461706
6.4.1.1;pyruvate carboxylase (Pyruvate -> Oxaloacetate);--;TCA;cytosol;29.906765717437494;PC;29.906765717433103;29.906765717158464;46.76671333970793;R690;46.766713339749685;46.766713339736796
pyruvate_mitochodrial_transport;pyruvate mitochondrial transport via proton symport;--;TCA;cytosol <=> mitochondrial;74.0751554144999;PYRt2m;74.07515541467508;74.0751554145169;53.09870390763848;R1311;53.098703907564655;53.09870390763599
oxcalotransport;oxcaloacetate(c) -> oxcaloacetate(m);--;TCA;cytosol <=> mitochondrial;;;;;;;;
1.2.4.1;pyruvate dehydrogenase (Pyruvate -> Acetyl-CoA);--;TCA;mitochondrial;;;;;49.77766800145916;R693;49.77766800125187;49.777668001465734
2.3.3.1;citrate synthase (Oxaloacetate + Acetyl-CoA -> Citrate);--;TCA;mitochondrial;48.547252613124;CSm;48.547252613246016;48.54725261320776;33.86215015020248;R236;33.862150150223314;33.862150150296486
4.2.1.3;aconitase (citrate to cis-aconitate(3-));--;TCA;mitochondrial;48.547252613124;ACONTm;0.0;48.547252613106366;8.014828927581615;R238;0.0;33.8621501502447
1.1.1.41;isocitrate dehydrogenase (NAD+);--;TCA;mitochondrial;38.37261482010827;ICDHxm;38.372614820038024;40.15276083373746;0.0;R487;0.0;2.0446577764232643e-10
1.2.4.2;oxoglutarate dehydrogenase (lipoamide);--;TCA;mitochondrial;;;;;15.532576024241912;R614;15.532576024232142;15.532576024303353
2.3.1.61;oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase);--;TCA;mitochondrial;29.21272414758334;AKGDbm;27.601599642930832;29.21272414757205;15.532576024241912;R613;15.532576024362378;15.532576024251142
6.2.1.4;succinate-CoA ligase (ADP-forming);--;TCA;mitochondrial;-29.212628902064367;SUCOASm;-29.21262890205094;-27.60150439903566;15.532576024241912;R741;15.532576024324017;15.532576024237528
1.3.5.1;succinate dehydrogenase (ubiquinone-6);--;TCA;mitochondrial;30.59994477194306;SUCD2_u6m;0.0;30.599944771940613;20.711144679037062;R740;20.711144679032486;20.711144679038853
4.2.1.2;fumarase (fumarate to malate);--;TCA;mitochondrial;142.36547787674746;FUMm;142.36547787757746;1000.0;15.532576024241912;R314;15.532576024243138;15.532576024211899
1.1.1.37;malate dehydrogenase (malate to oxaloacetate);--;TCA;mitochondrial;181.81247486125955;MDHm;181.8124748614191;187.15291289864552;37.14278787329689;R533;33.86215015022724;164.2377577764579
