EC;enzyme_name;enzyme_abbreviation;pathway_name;location;iYali4_flux;iYali4_reaction_id;iYali4_min;iYali4_max;iYLI647_flux;iYLI647_reaction_id;iYLI647_min;iYLI647_max;iMT1026v3_flux;iMT1026v3_reaction_id;iMT1026v3_min;iMT1026v3_max;iYli21_flux;iYli21_reaction_id;iYli21_min;iYli21_max
2.7.1.1;hexokinase;GLK;glycolysis;cytosol;100.0;534;100.00000000000253;99.99999999998661;100.0;HEX1;99.99999999999653;100.00000000001971;60.72375986449878;HEX1;0.0;100.00000000005754;100.0;R387;99.9999999999998;100.00000000002873
5.3.1.9;glucose-6-phosphate isomerase;PGI;glycolysis;cytosol;86.86451610328325;467;86.864516103241;86.86451610319082;36.422464499294605;PGI;36.422464499249685;36.42246449930224;0.0;PGI;0.0;39.27624013538298;47.142993308763565;R326;47.14299330888865;47.14299330882599
2.7.1.11;6-phosphofructokinase;PFK;glycolysis;cytosol;68.21706886051975;886;68.21706886043621;68.21706886051652;39.27939445784529;PFK;39.27939445793123;39.27939445784676;43.94577855486174;PFK;43.94577855478908;43.94577855492575;42.5964939830144;R636;42.5964939831321;42.59649398303483
4.1.2.13;fructose-bisphosphate aldolase;FBA;glycolysis;cytosol;68.21706886051975;450;68.21706886048055;68.21706886049611;39.27939445784529;FBA;39.27939445805043;39.27939445785762;43.94577855486174;FBA;43.945778554758924;43.94577855491252;42.5964939830144;R313;42.59649398256886;42.596493983280254
5.3.1.1;triosephosphate isomerase;TPI;glycolysis;cytosol;68.20355176923779;1054;68.20355176923599;68.2035517692072;54.9761677213224;TPI;54.9761677213394;54.9761677213437;56.59616687937713;TPI;56.59616687935331;56.596166879410944;54.93580556856958;R768;54.908743851399784;54.935805568569414
1.2.1.12;glyceraldehyde-3-phosphate dehydrogenase;GAPA;glycolysis;cytosol;133.83834387195498;486;133.83834387192005;133.83834387192462;126.47966147136657;GAPD;126.47966147136363;126.47966147136594;123.81374257642233;GAPD;123.81374257640209;123.81374257645388;120.5366266466148;R344;120.53662664662215;120.53662664662531
2.7.2.3;phosphoglycerate kinase;PGK;glycolysis;cytosol;133.83834387195498;892;133.8383438719354;133.83834387192434;-126.47966147136657;PGK;-126.47966147138291;-126.47966147135972;-123.81374257642233;PGK;-123.8137425765145;-123.8137425764155;120.5366266466148;R642;120.53662664659622;120.53662664661766
5.4.2.11;2,3-bisphosphoglycerate-dependent phosphoglycerate mutase;gpmA;glycolysis;cytosol;124.41076965047716;893;124.41076965048396;124.41076965043976;-116.8231926511147;PGM;-116.82319265104897;-116.82319265105798;-115.31283857982407;PGM;-115.31283857980249;-115.31283857976408;111.09945035057801;R643;111.09945035061999;111.09945035058148
4.2.1.11;enolase;ENO;glycolysis;cytosol;124.41076965047716;366;124.41076965045932;124.4107696504404;116.8231926511147;ENO;116.82319265112267;116.82319265112463;115.31283857982407;ENO;115.31283857923114;115.31283858002017;111.09945035057801;R292;111.09945035040334;111.09945035056407
2.7.1.40;pyruvate kinase;PYK;glycolysis;cytosol;120.95239783085219;962;120.95239783082033;120.9523978308094;113.96389296160856;PYK;113.96389296168476;113.9638929616217;109.50650621284652;PYK;109.50650621286762;109.50650621294241;107.63755614616092;R694;107.6375561461503;107.63755614618026
