flux,reaction,percent,reaction_name,model
-6.427209323708233,471,61.55,glutamate dehydrogenase (NADP),iYali4(cor)
-0.6085334500227906,558,5.83,hydroxymethylglutaryl CoA reductase,iYali4(cor)
-0.4574877006363648,219,4.38,aspartate-semialdehyde dehydrogenase,iYali4(cor)
-0.4574877006363648,547,4.38,homoserine dehydrogenase (NADP),iYali4(cor)
-0.3643106526983576,678,3.49,L-aminoadipate-semialdehyde dehydrogenase (NADPH),iYali4(cor)
-0.3643106526983576,989,3.49,"saccharopine dehydrogenase (NADP, L-glutamate forming)",iYali4(cor)
-0.2733896402562333,957,2.62,pyrroline-5-carboxylate reductase,iYali4(cor)
-4.969038519641094,GLUDy,45.34,glutamate dehydrogenase NADP,iMK735(cor)
-1.3391475626706475,FAS80COA_L,12.22,fatty acyl CoA synthase n C80CoA lumped reaction,iMK735(cor)
-0.4646136295161929,HMGCOAR,4.24,Hydroxymethylglutaryl CoA reductase,iMK735(cor)
-0.4463825208902159,FAS100COA,4.07,fatty acyl CoA synthase n C100CoA,iMK735(cor)
-0.4383907521754753,FAS120COA,4.0,fatty acyl CoA synthase n C120CoA,iMK735(cor)
-0.4144154460312535,FAS140COA,3.78,fatty acyl CoA synthase n C140CoA,iMK735(cor)
-0.3744566024575505,FAS160COA,3.42,fatty acyl CoA synthase n C160CoA,iMK735(cor)
-0.3492906117875992,ASADi,3.19,aspartate semialdehyde dehydrogenase irreversible,iMK735(cor)
-0.2781501897968927,AASAD1,2.54,L aminoadipate semialdehyde dehydrogenase NADPH,iMK735(cor)
-0.2781501897968927,SACCD1,2.54,saccharopine dehydrogenase NADP L glutamate forming,iMK735(cor)
-1.3715848938689954,R330,61.82,glutamate dehydrogenase (NADP),iYli21
-0.1298627826522493,R410,5.85,hydroxymethylglutaryl CoA reductase,iYli21
-0.0976291867465832,R164,4.4,aspartate-semialdehyde dehydrogenase,iYli21
-0.0976291867465832,R399,4.4,homoserine dehydrogenase (NADP),iYli21
-0.0777449376159914,R505,3.5,L-aminoadipate-semialdehyde dehydrogenase (NADPH),iYli21
-0.0777449376159914,R719,3.5,"saccharopine dehydrogenase (NADP, L-glutamate forming)",iYli21
-0.0583421329273554,R689,2.63,pyrroline-5-carboxylate reductase,iYli21
-5.342303404220281,GLUDy,46.54,glutamate dehydrogenase NADP,iYLI647(cor)
-1.4384268821977964,FAS80COA_L,12.53,fatty acyl CoA synthase n C80CoA lumped reaction,iYLI647(cor)
-0.4995120712266671,HMGCOAR,4.35,Hydroxymethylglutaryl CoA reductase,iYLI647(cor)
-0.4794756273992654,FAS100COA,4.18,fatty acyl CoA synthase n C100CoA,iYLI647(cor)
-0.4709037752175204,FAS120COA,4.1,fatty acyl CoA synthase n C120CoA,iYLI647(cor)
-0.4451882186722857,FAS140COA,3.88,fatty acyl CoA synthase n C140CoA,iYLI647(cor)
-0.4023289577635612,FAS160COA,3.5,fatty acyl CoA synthase n C160CoA,iYLI647(cor)
-0.3755270190474981,ASADi,3.27,aspartate semialdehyde dehydrogenase irreversible,iYLI647(cor)
-0.2990426280842557,SACCD1,2.61,saccharopine dehydrogenase NADP L glutamate forming,iYLI647(cor)
-7.686704555604874,R0282,46.69,L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating),iYli_2.0
-1.935343846236368,R0125,11.76,"fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction",iYli_2.0
-0.6722773360610539,R0765,4.08,(R)-Mevalonate:NADP+ oxidoreductase (CoA acylating),iYli_2.0
-0.6451146154121226,R0126,3.92,fatty acyl-CoA synthase (n-C10:0CoA),iYli_2.0
-0.6322123231038801,R0129,3.84,fatty-acyl-CoA synthase (n-C12:0CoA),iYli_2.0
-0.6200256865282523,R1013,3.77,Nicotinamide adenine dinucleotide phosphate - reduced transport,iYli_2.0
-0.5935054461791528,R0131,3.61,fatty-acyl-CoA synthase (n-C14:0CoA),iYli_2.0
-0.5289939846379406,R0133,3.21,fatty-acyl-CoA synthase (n-C16:0CoA),iYli_2.0
-0.402472197848028,R0416,2.44,"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase",iYli_2.0
-0.402472197848028,R0422,2.44,L-2-Aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase,iYli_2.0
-1.074721072773711,r237,27.79,L-Glutamate:NADP+ oxidoreductase (deaminating),iLC915
-0.1418234873293762,r164,3.67,L-Glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylationg),iLC915
-0.1334626774113506,r10,3.45,(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,iLC915
-0.1334626774113506,r201,3.45,Octanoyl-[acyl-carrier protein] reductase,iLC915
-0.1334626774113506,r23,3.45,(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,iLC915
-0.1334626774113506,r210,3.45,Butyryl-[acyl-carrier protein] reductase,iLC915
-0.1334626774113506,r207,3.45,Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA,iLC915
-0.1334626774113506,r205,3.45,Tetradecanoyl-[acyl-carrier protein] reductase,iLC915
-0.1334626774113506,r12,3.45,(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,iLC915
-0.1334626774113506,r203,3.45,Decanoyl-[acyl-carrier protein] reductase,iLC915
-0.1334626774113506,r199,3.45,Hexanoyl-[acyl-carrier protein] reductase,iLC915
-0.1334626774113506,r197,3.45,Dodecanoyl-[acyl-carrier protein] reductase,iLC915
-0.1334626774113506,r19,3.45,(3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,iLC915
-0.1334626774113506,r16,3.45,(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+,iLC915
-0.1334626774113506,r14,3.45,(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase,iLC915
