exchange_metabolite_name;exchange_metabolite_id_iYli21;exchange_metabolite_id_iYali4;exchange_metabolite_id_iMT1026;exchange_reaction_name
ethanol;m1217[C_ex];m1217;etoh_e;Ethanol exchange
xylitol;m1388[C_ex];m1388;xylt_e;Xylitol exchange
l_asparagine;m1065[C_ex];m1065;asn_L_e;L-Asparagine exchange
l_aspartate;m1068[C_ex];m1068;asp_L_e;L-Aspartate exchange
4_aminobenzoate;m1148[C_ex];m1148;4abz_e;4-Aminobenzoate exchange
l_arabinose;m1283[C_ex];m1283;arab_L_e;L-Arabinose exchange
fecosterol;m1049[C_ex];m1049;fecost_e;fecosterol exchange
7-8_diaminononanoate;m1152[C_ex];m1152;dann_e;7,8-Diaminononanoate exchange
l_valine;m1091[C_ex];m1091;val_L_e;L-Valine exchange
fmn;m213[C_ex];m213;fmn_e;FMN exchange
formate;m1231[C_ex];m1231;for_e;Formate exchange
l_lysine;m1082[C_ex];m1082;lys_L_e;L-Lysine exchange
choline;m1037[C_ex];m1037;chol_e;Choline exchange
l_histidine;m1075[C_ex];m1075;his_L_e;L-Histidine exchange
l_alanine;m1063[C_ex];m1063;ala_L_e;L-Alanine exchange
cytosine;m1041[C_ex];m1041;csn_e;Cytosine exchange
(r)_pantothenate;m1098[C_ex];m1098;pnto_R_e;(R)-Pantothenate exchange
inosine;m1261[C_ex];m1261;ins_e;Inosine exchange
l_proline;m1085[C_ex];m1085;pro_L_e;L-Proline exchange
putrescine;m1101[C_ex];m1101;ptrc_e;Putrescine exchange
d_mannose;m1044[C_ex];m1044;man_e;D-Mannose exchange
l_phenylalanine;m1084[C_ex];m1084;phe_L_e;L-Phenylalanine exchange
guanosine;m1247[C_ex];m1247;gsn_e;Guanosine exchange
hypoxanthine;m1257[C_ex];m1257;hxan_e;Hypoxanthine exchange
lanosterol;m1092[C_ex];m1092;lanost_e;Lanosterol exchange
l_glutamine;m1074[C_ex];m1074;gln_L_e;L-Glutamine exchange
l_glutamate;m1072[C_ex];m1072;glu_L_e;L-Glutamate exchange
l_leucine;m1081[C_ex];m1081;leu_L_e;L-Leucine exchange
