exchange_metabolite_name;exchange_metabolite_id;unnormalized_name
h2o;h2o_e;H2O exchange
trehalose;tre_e;Trehalose exchange
d_glucose;glc_D_e;D-Glucose exchange
l_asparagine;asn_L_e;L-Asparagine exchange
ammonium;nh4_e;Ammonium exchange
l_aspartate;asp_L_e;L-Aspartate exchange
fmn;fmn_e;FMN exchange
phosphate;pi_e;Phosphate exchange
riboflavin;ribflv_e;Riboflavin exchange
thiamine_diphosphate;thmpp_e;Thiamine diphosphate exchange
h+;h_e;H+ exchange
thiamine;thm_e;Thiamine exchange
phosphatidylcholine;pc_SC_e;Phosphatidylcholine, yeast-specific exchange
average_fatty_acid;faR_e;Average fatty acid exchange
1_acyl_sn_glycerol_3_phosphocholine;1agpc_SC_e;1-Acyl-sn-glycerol-3-phosphocholine, yeast-specific exchange
episterol_ester;epistest_SC_e;episterol ester, yeast-specific exchange
episterol;epist_e;episterol exchange
ergosterol_ester;ergstest_SC_e;ergosterol ester, yeast-specific exchange
ergosterol;ergst_e;Ergosterol exchange
fecosterol_ester;fecostest_SC_e;fecosterol ester, yeast-specific exchange
fecosterol;fecost_e;fecosterol exchange
lanosterol_ester;lanostest_SC_e;lanosterol ester, yeast-specific exchange
lanosterol;lanost_e;Lanosterol exchange
zymosterol_ester;zymstest_SC_e;zymosterol ester, yeast-specific exchange
zymosterol;zymst_e;zymosterol exchange
thiamin_monophosphate;thmmp_e;Thiamin monophosphate exchange
chitin_(monomer);chitin_e;Chitin (monomer) exchange
chitosan;chitos_e;Chitosan exchange
acetate;ac_e;Acetate exchange
sn_glycero_3_phosphocholine;g3pc_e;sn-glycero-3-Phosphocholine exchange
1-3_beta_d_glucan;13BDglcn_e;1,3-beta-D-Glucan exchange
phosphatidyl_1d_myo_inositol;ptd1ino_SC_e;phosphatidyl-1D-myo-inositol, yeast-specific exchange
sn_glycero_3_phospho_1_inositol;g3pi_e;sn-Glycero-3-phospho-1-inositol exchange
allantoin;alltn_e;Allantoin exchange
oxygen;o2_e;Oxygen exchange
sulfate;so4_e;Sulfate exchange
nitrate;no3_e;Nitrate exchange
sulfur;s_e;Sulfur exchange
octadecenoate;ocdcea_e;octadecenoate exchange
glycerol;glyc_e;Glycerol exchange
d_sorbitol;sbt_D_e;D-Sorbitol exchange
d_mannitol;mnl_e;D-Mannitol exchange
fe2+;fe2_e;Fe2+ exchange
