exchange_metabolite_name;exchange_metabolite_id;unnormalized_name
(1_3)_beta_d_glucan;m510;(1-3)-beta-D-glucan exchange
(r)_carnitine;m1069;(R)-carnitine exchange
(r)_lactate;m1043;(R)-lactate exchange
(r)_mevalonate;m1018;(R)-mevalonate exchange
(r)_pantothenate;m1098;(R)-pantothenate exchange
(r-r)_2-3_butanediol;m1020;(R,R)-2,3-butanediol exchange
(s)_lactate;m1079;(S)-lactate exchange
(s)_malate;m1130;(S)-malate exchange
1_(sn_glycero_3_phospho)_1d_myo_inositol;m1053;1-(sn-glycero-3-phospho)-1D-myo-inositol exchange
1_acylglycerophosphocholine;m1133;1-acylglycerophosphocholine exchange
2_deoxyadenosine;m1135;2'-deoxyadenosine exchange
2_deoxyguanosine;m1137;2'-deoxyguanosine exchange
2_deoxyinosine;m1139;2'-deoxyinosine exchange
2_deoxyuridine;m1141;2'-deoxyuridine exchange
2_isopropylmalate;m1143;2-isopropylmalate exchange
2_oxoglutarate;m1145;2-oxoglutarate exchange
4_aminobenzoate;m1148;4-aminobenzoate exchange
5_aminolevulinate;m1022;5-aminolevulinate exchange
5_formyltetrahydrofolic_acid;m1023;5-formyltetrahydrofolic acid exchange
7-8_diaminononanoate;m1152;7,8-diaminononanoate exchange
8_amino_7_oxononanoate;m1024;8-amino-7-oxononanoate exchange
9h_xanthine;m1155;9H-xanthine exchange
acetaldehyde;m1157;acetaldehyde exchange
acetate;m1025;acetate exchange
adenine;m1026;adenine exchange
adenosine_3-5_bismonophosphate;m1161;adenosine 3',5'-bismonophosphate exchange
adenosine;m1027;adenosine exchange
allantoate;m1029;allantoate exchange
allantoin;m1030;allantoin exchange
alpha-alpha_trehalose;m1167;alpha,alpha-trehalose exchange
alpha_d_glucosamine_6_phosphate;m1169;alpha-D-glucosamine 6-phosphate exchange
ammonium;m1031;ammonium exchange
bicarbonate;m1172;bicarbonate exchange
biotin;m1032;biotin exchange
carbon_dioxide;m1176;carbon dioxide exchange
choline;m1037;choline exchange
citrate(3_);m1187;citrate(3-) exchange
cytidine;m1040;cytidine exchange
cytosine;m1041;cytosine exchange
d_arabinose;m1193;D-arabinose exchange
d_fructose;m963;D-fructose exchange
d_galactose;m1042;D-galactose exchange
d_galacturonate;m1197;D-galacturonate exchange
d_glucitol;m1199;D-glucitol exchange
d_glucose;m511;D-glucose exchange
d_mannose;m1044;D-mannose exchange
d_ribose;m1203;D-ribose exchange
d_xylose;m1205;D-xylose exchange
decanoate;m1207;decanoate exchange
deoxycytidine;m1209;deoxycytidine exchange
dttp;m1211;dTTP exchange
episterol;m1045;episterol exchange
ergosterol;m1046;ergosterol exchange
ethanol;m1217;ethanol exchange
ethanolamine;m1047;ethanolamine exchange
fecosterol;m1049;fecosterol exchange
fmn;m213;FMN exchange
folic_acid;m1050;folic acid exchange
formate;m1231;formate exchange
fumarate(2_);m1233;fumarate(2-) exchange
gamma_aminobutyrate;m1021;gamma-aminobutyrate exchange
glutathione_disulfide;m1237;glutathione disulfide exchange
glutathione;m1052;glutathione exchange
glycerol;m1056;glycerol exchange
glycine;m1057;glycine exchange
glycolaldehyde;m1242;glycolaldehyde exchange
glyoxylate;m1244;glyoxylate exchange
guanine;m1059;guanine exchange
guanosine;m1247;guanosine exchange
h+;m342;H+ exchange
hexadecanal;m1252;hexadecanal exchange
hypoxanthine;m1257;hypoxanthine exchange
inosine;m1261;inosine exchange
iron(2+);m1273;iron(2+) exchange
isoamyl_acetate;m1062;isoamyl acetate exchange
isoamylol;m1277;isoamylol exchange
l_alanine;m1063;L-alanine exchange
l_arabinitol;m1281;L-arabinitol exchange
l_arabinose;m1283;L-arabinose exchange
l_arginine;m1064;L-arginine exchange
l_asparagine;m1065;L-asparagine exchange
l_aspartate;m1068;L-aspartate exchange
l_cysteine;m1070;L-cysteine exchange
l_glucitol;m1289;L-glucitol exchange
l_glutamate;m1072;L-glutamate exchange
l_glutamine;m1074;L-glutamine exchange
l_histidine;m1075;L-histidine exchange
l_homoserine;m1294;L-homoserine transport
l_isoleucine;m1077;L-isoleucine exchange
l_leucine;m1081;L-leucine exchange
l_lysine;m1082;L-lysine exchange
l_methionine;m1083;L-methionine exchange
l_phenylalanine;m1084;L-phenylalanine exchange
l_proline;m1085;L-proline exchange
l_serine;m1086;L-serine exchange
l_sorbose;m1303;L-sorbose exchange
l_threonine;m1087;L-threonine exchange
l_tryptophan;m1088;L-tryptophan exchange
l_tyrosine;m1090;L-tyrosine exchange
l_valine;m1091;L-valine exchange
lanosterol;m1092;lanosterol exchange
laurate;m1310;laurate exchange
maltose;m1322;maltose exchange
myo_inositol;m1060;myo-inositol exchange
nicotinate;m1095;nicotinate exchange
nmn;m1337;NMN exchange
octanoate;m1341;octanoate exchange
ornithine;m1097;ornithine exchange
oxaloacetate(2_);m1344;oxaloacetate(2-) exchange
oxygen;m1339;oxygen exchange
palmitate;m1254;palmitate exchange
palmitoleate;m1255;palmitoleate exchange
pectin;m1351;pectin exchange
phosphate;m215;phosphate exchange
potassium;m1099;potassium exchange
putrescine;m1101;putrescine exchange
pyridoxine;m1357;pyridoxine exchange
pyruvate;m1103;pyruvate exchange
riboflavin;m216;riboflavin exchange
s_adenosyl_l_methionine;m1104;S-adenosyl-L-methionine exchange
s_methyl_l_methionine;m1105;S-methyl-L-methionine exchange
sn_glycero_3_phosphocholine;m1055;sn-glycero-3-phosphocholine exchange
sodium;m1108;sodium exchange
spermidine;m1109;spermidine exchange
spermine;m1111;spermine exchange
stearate;m1340;stearate exchange
succinate;m1368;succinate exchange
sucrose;m962;sucrose exchange
sulphate;m1113;sulphate exchange
sulphite;m1114;sulphite exchange
taurine;m1115;taurine exchange
thiamine(1+)_diphosphate(1_);m971;thiamine(1+) diphosphate(1-) exchange
thiamine(1+);m972;thiamine(1+) exchange
thiamine(1+)_monophosphate;m973;thiamine(1+) monophosphate exchange
thymidine;m1378;thymidine exchange
uracil;m1117;uracil exchange
urea;m1118;urea exchange
uridine;m1119;uridine exchange
water;m214;water exchange
xanthosine;m1386;xanthosine exchange
xylitol;m1388;xylitol exchange
zymosterol;m1390;zymosterol exchange
14_demethyllanosterol;m1405;14-demethyllanosterol exchange
ergosta_5-7-22-24(28)_tetraen_3beta_ol;m1407;ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange
butyrate;m1459;butyrate exchange
hexanoate;m1461;hexanoate exchange
oleate;m1463;oleate exchange
myristate;m1227;myristate exchange
raffinose;m1636;raffinose exchange
melibiose;m1637;melibiose exchange
isocitrate;m1803;EXC_OUT_m1803
erythritol;m1826;EXC_OUT_m1826
d_mannitol;m1824;EXC_OUT_m1824
